PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
AJ Dillon,GB,4.14,25.28,2.6,178,613,-64,3.4,-0.36,36.9,2
Aaron Jones,GB,3.67,23.24,2.66,142,656,16,4.6,0.12,39.3,2
Alexander Mattison,MIN,4.05,21.67,2.84,180,700,-45,3.9,-0.25,39.7,0
Alvin Kamara,NO,4.05,21.11,2.61,180,694,-99,3.9,-0.56,33.1,5
Austin Ekeler,LAC,4.15,15.08,2.63,179,628,-48,3.5,-0.27,35,5
Bijan Robinson,ATL,4.37,20.56,2.99,214,976,82,4.6,0.39,38.3,4
Breece Hall,NYJ,4.02,19.28,2.96,223,994,146,4.5,0.67,33.9,5
Brian Robinson,WAS,3.69,14.04,2.78,178,733,38,4.1,0.22,40.9,5
Christian McCaffrey,SF,3.59,36.03,2.8,272,1459,349,5.4,1.32,46.6,14
Chuba Hubbard,CAR,3.8,19.33,2.72,238,902,46,3.8,0.19,44.5,5
D'Andre Swift,PHI,3.58,17.9,2.77,229,1049,-65,4.6,-0.29,36.9,5
D'Onta Foreman,CHI,3.83,20.18,2.63,109,425,8,3.9,0.08,43,4
Dameon Pierce,HOU,5.18,26.21,3,145,416,-83,2.9,-0.59,32.6,2
David Montgomery,DET,3.46,21,2.55,219,1015,62,4.6,0.29,44.2,13
Derrick Henry,TEN,3.91,35.36,2.8,280,1167,84,4.2,0.31,40.1,12
Devin Singletary,HOU,3.71,23.15,2.84,216,898,33,4.2,0.15,37.4,4
De'Von Achane,MIA,3.04,11.65,2.93,103,800,279,7.8,2.87,47.4,8
Ezekiel Elliott,NE,3.91,17.93,2.71,184,642,-71,3.5,-0.39,41.8,3
Gus Edwards,BAL,3.57,34.34,2.64,198,810,51,4.1,0.26,40.2,13
Isiah Pacheco,KC,3.57,12.2,2.76,205,935,91,4.6,0.45,40,7
Jahmyr Gibbs,DET,3.75,15.93,2.89,182,945,72,5.2,0.4,33.7,10
Jamaal Williams,NO,4.58,29.25,2.65,106,306,-101,2.9,-0.99,28.4,1
James Conner,ARI,3.75,25,2.96,208,1040,211,5,1.02,43,7
James Cook,BUF,3.47,10.13,2.64,237,1122,105,4.7,0.45,42.7,2
Javonte Williams,DEN,4.48,16.59,2.94,217,774,-83,3.6,-0.38,39.4,3
Jaylen Warren,PIT,3.63,12.08,2.86,149,784,162,5.3,1.11,39.7,4
Jerome Ford,CLE,4.68,18.63,3.16,204,813,-4,4,-0.02,35.2,4
Joe Mixon,CIN,3.78,15.18,2.6,257,1034,6,4,0.02,41,9
Jonathan Taylor,IND,3.45,14.2,2.74,169,741,54,4.4,0.32,33.5,7
Josh Jacobs,LV,4.27,21.46,2.78,233,805,-86,3.5,-0.37,34.6,6
Joshua Kelley,LAC,3.99,8.41,2.7,107,405,-25,3.8,-0.24,30.5,2
Kareem Hunt,CLE,4.51,31.85,2.68,135,411,-101,3,-0.75,35.1,9
Kenneth Walker,SEA,4.54,19.63,3.09,219,905,-27,4.1,-0.13,31.9,8
Khalil Herbert,CHI,3.61,31.82,2.76,132,611,38,4.6,0.29,41.9,2
Kyren Williams,LAR,3.23,4.82,2.62,228,1144,100,5,0.45,39.7,12
Miles Sanders,CAR,4.66,9.3,2.89,129,432,-54,3.3,-0.42,28.1,1
Najee Harris,PIT,3.84,20.78,2.78,255,1035,87,4.1,0.35,42.2,8
Rachaad White,TB,3.92,16.91,2.67,272,990,-114,3.6,-0.43,36.5,6
Raheem Mostert,MIA,4.25,14.35,2.93,209,1012,126,4.8,0.61,38.5,18
Rhamondre Stevenson,NE,3.47,16.67,2.52,156,619,-18,4,-0.12,37.3,4
Saquon Barkley,NYG,3.85,14.98,2.72,247,962,93,3.9,0.39,37.1,6
Tony Pollard,DAL,3.81,11.11,2.63,252,1005,-39,4,-0.16,36.2,6
Travis Etienne,JAX,4.16,22.85,2.83,267,1008,-77,3.8,-0.29,36.6,11
Ty Chandler,MIN,3.74,17,2.91,100,415,-14,4.2,-0.14,41.4,3
Tyjae Spears,TEN,3.63,12,2.73,100,453,-14,4.5,-0.15,33,2
Tyler Allgeier,ATL,4.6,30.65,2.97,186,683,-60,3.7,-0.33,39.2,4
Zach Charbonnet,SEA,3.73,13.89,2.89,108,462,19,4.3,0.18,40.6,1
Zack Moss,IND,3.31,14.75,2.67,183,794,129,4.3,0.71,41.8,5
Zamir White,LV,3.7,15.38,2.85,104,451,34,4.3,0.33,46.6,1
