Player,Pos.,Team,Total Value,APY,Total Guaranteed,Avg. Guarantee/Year,% Guaranteed,Win Percentage
Christian McCaffrey,RB,49ers,"$62,063,412 ","$16,015,853 ","$30,062,500 ","$7,515,625 ",46.90%,0.706
Alvin Kamara,RB,Saints,"$75,000,000 ","$15,000,000 ","$17,833,000 ","$3,566,600 ",23.80%,0.529
Jonathan Taylor,RB,Colts,"$42,000,000 ","$14,000,000 ","$19,347,556 ","$6,449,185 ",46.10%,0.529
Derrick Henry,RB,Titans,"$50,000,000 ","$12,500,000 ","$25,500,000 ","$6,375,000 ",51.00%,0.353
Nick Chubb,RB,Browns,"$36,600,000 ","$12,200,000 ","$17,133,059 ","$5,711,020 ",46.80%,0.647
Josh Jacobs,RB,Raiders,"$11,791,000 ","$11,791,000 ","$10,091,000 ","$10,091,000 ",85.60%,0.471
Aaron Jones,RB,Packers,"$23,000,000 ","$11,500,000 ","$8,520,000 ","$4,260,000 ",37.00%,0.529
Tony Pollard,RB,Cowboys,"$10,091,000 ","$10,091,000 ","$10,091,000 ","$10,091,000 ",100.00%,0.706
Saquon Barkley,RB,Giants,"$10,091,000 ","$10,091,000 ","$10,091,000 ","$10,091,000 ",100.00%,0.353
James Conner,RB,Cardinals,"$21,000,000 ","$7,000,000 ","$13,500,000 ","$4,500,000 ",64.30%,0.235
Miles Sanders,RB,Panthers,"$25,400,000 ","$6,350,000 ","$13,000,000 ","$3,250,000 ",51.20%,0.118
Austin Ekeler,RB,Chargers,"$24,500,000 ","$6,125,000 ","$13,750,000 ","$3,437,500 ",56.10%,0.294
David Montgomery,RB,Lions,"$18,000,000 ","$6,000,000 ","$8,750,000 ","$2,916,667 ",48.60%,0.706
Joe Mixon,RB,Bengals,"$11,500,000 ","$5,750,000 ","$4,128,000 ","$2,064,000 ",35.90%,0.529
Bijan Robinson,RB,Falcons,"$21,958,544 ","$5,489,636 ","$21,958,544 ","$5,489,636 ",100.00%,0.412
Cordarrelle Patterson,RB,Falcons,"$10,500,000 ","$5,250,000 ","$5,000,000 ","$2,500,000 ",47.60%,0.412
Nyheim Hines,RB,Bills,"$9,000,000 ","$4,500,000 ","$2,000,000 ","$1,000,000 ",22.20%,0.647
Jahmyr Gibbs,RB,Lions,"$17,845,138 ","$4,461,285 ","$17,845,138 ","$4,461,285 ",100.00%,0.706
Jamaal Williams,RB,Saints,"$12,000,000 ","$4,000,000 ","$8,150,000 ","$2,716,667 ",67.90%,0.529
Samaje Perine,RB,Broncos,"$7,500,000 ","$3,750,000 ","$3,000,000 ","$1,500,000 ",40.00%,0.471
Alexander Mattison,RB,Vikings,"$7,000,000 ","$3,500,000 ","$6,350,000 ","$3,175,000 ",90.70%,0.412
Gus Edwards,RB,Ravens,"$3,384,000 ","$3,384,000 ","$2,300,000 ","$2,300,000 ",68.00%,0.765
Najee Harris,RB,Steelers,"$13,047,444 ","$3,261,861 ","$13,047,444 ","$3,261,861 ",100.00%,0.588
Travis Etienne,RB,Jaguars,"$12,898,112 ","$3,224,528 ","$12,898,112 ","$3,224,528 ",100.00%,0.529
Ezekiel Elliott,RB,Patriots,"$3,000,000 ","$3,000,000 ","$1,100,000 ","$1,100,000 ",36.70%,0.235
Jeff Wilson,RB,Dolphins,"$6,000,000 ","$3,000,000 ","$2,645,000 ","$1,322,500 ",44.10%,0.647
Raheem Mostert,RB,Dolphins,"$5,600,000 ","$2,800,000 ","$2,200,000 ","$1,100,000 ",39.30%,0.647
Devin Singletary,RB,Texans,"$2,750,000 ","$2,750,000 ","$2,500,000 ","$2,500,000 ",90.90%,0.588
Clyde Edwards-Helaire,RB,Chiefs,"$10,821,576 ","$2,705,394 ","$9,955,850 ","$2,488,963 ",92.00%,0.647
Brandon Bolden,RB,Raiders,"$5,010,000 ","$2,505,000 ","$2,375,000 ","$1,187,500 ",47.40%,0.471
Justice Hill,RB,Ravens,"$4,510,000 ","$2,255,000 ","$1,250,000 ","$625,000 ",27.70%,0.765
Breece Hall,RB,Jets,"$9,014,768 ","$2,253,692 ","$7,080,482 ","$1,770,121 ",78.50%,0.412
Javonte Williams,RB,Broncos,"$8,865,754 ","$2,216,439 ","$6,718,251 ","$1,679,563 ",75.80%,0.471
D'Andre Swift,RB,Eagles,"$8,538,918 ","$2,134,730 ","$6,306,374 ","$1,576,594 ",73.90%,0.647
Kenneth Walker III,RB,Seahawks,"$8,441,580 ","$2,110,395 ","$6,144,040 ","$1,536,010 ",72.80%,0.529
Boston Scott,RB,Eagles,"$2,000,000 ","$2,000,000 ","$1,080,000 ","$1,080,000 ",54.00%,0.647
D'Onta Foreman,RB,Bears,"$2,000,000 ","$2,000,000 ","$1,000,000 ","$1,000,000 ",50.00%,0.412
Travis Homer,RB,Bears,"$4,000,000 ","$2,000,000 ","$1,750,000 ","$875,000 ",43.80%,0.412
Damien Harris,RB,Bills,"$1,770,000 ","$1,770,000 ","$1,000,000 ","$1,000,000 ",56.50%,0.647
Ameer Abdullah,RB,Raiders,"$1,750,000 ","$1,750,000 ","$500,000 ","$500,000 ",28.60%,0.471
Zach Charbonnet,RB,Seahawks,"$6,876,078 ","$1,719,020 ","$3,813,333 ","$953,333 ",55.50%,0.529
Cam Akers,RB,Vikings,"$6,173,042 ","$1,543,261 ","$3,550,077 ","$887,519 ",57.50%,0.412
Dare Ogunbowale,RB,Texans,"$3,000,000 ","$1,500,000 ","$550,000 ","$550,000 ",18.30%,0.588
James Cook,RB,Bills,"$5,832,064 ","$1,458,016 ","$3,096,594 ","$774,149 ",53.10%,0.647
Salvon Ahmed,RB,Dolphins,"$1,450,000 ","$1,450,000 ","$300,000 ","$300,000 ",20.70%,0.647
JaMycal Hasty,RB,Patriots,"$2,900,000 ","$1,450,000 ","$300,000 ","$150,000 ",10.30%,0.235
J.K. Dobbins,RB,Ravens,"$5,729,438 ","$1,432,360 ","$3,207,293 ","$801,823 ",56.00%,0.765
Kendre Miller,RB,Saints,"$5,654,312 ","$1,413,578 ","$1,112,228 ","$278,057 ",19.70%,0.529
Matt Breida,RB,Giants,"$1,400,000 ","$1,400,000 ","$500,000 ","$500,000 ",35.70%,0.353
Tyjae Spears,RB,Titans,"$5,490,602 ","$1,372,651 ","$993,164 ","$248,291 ",18.10%,0.353
Devon Achane,RB,Dolphins,"$5,437,450 ","$1,359,363 ","$954,508 ","$238,627 ",17.60%,0.647
Rashaad Penny,RB,Eagles,"$1,350,000 ","$1,350,000 ","$600,000 ","$600,000 ",44.40%,0.647
Kareem Hunt,RB,Browns,"$1,350,000 ","$1,350,000 ","$500,000 ","$500,000 ",37.00%,0.647
Tank Bigsby,RB,Jaguars,"$5,392,918 ","$1,348,230 ","$922,120 ","$230,530 ",17.10%,0.529
A.J. Dillon,RB,Packers,"$5,285,830 ","$1,321,458 ","$2,760,240 ","$690,060 ",52.20%,0.529
Jerick McKinnon,RB,Chiefs,"$1,317,500 ","$1,317,500 ","$1,092,500 ","$1,092,500 ",82.90%,0.647
Latavius Murray,RB,Bills,"$1,317,500 ","$1,317,500 ","$802,500 ","$802,500 ",60.90%,0.647
Rachaad White,RB,Buccaneers,"$5,130,000 ","$1,282,500 ","$910,908 ","$227,727 ",17.80%,0.529
Brian Robinson Jr.,RB,Commanders,"$5,044,904 ","$1,261,226 ","$849,020 ","$212,255 ",16.80%,0.235
Antonio Gibson,RB,Commanders,"$4,932,638 ","$1,233,160 ","$1,147,372 ","$286,843 ",23.30%,0.235
D'Ernest Johnson,RB,Jaguars,"$1,232,500 ","$1,232,500 ","$250,000 ","$250,000 ",20.30%,0.529
Trayveon Williams,RB,Bengals,"$1,232,500 ","$1,232,500 ","$52,500 ","$52,500 ",4.30%,0.529
Chase Edmonds,RB,Buccaneers,"$1,232,500 ","$1,232,500 ","$152,500 ","$152,500 ",12.40%,0.529
Melvin Gordon,RB,Ravens,"$1,165,000 ","$1,165,000 ",$0 ,$0 ,0.00%,0.765
Dwayne Washington,RB,Broncos,"$1,165,000 ","$1,165,000 ",$0 ,$0 ,0.00%,0.471
